objectid,mode,lineabbr,route,month_,year_,servicetype,stopname,stopabbrone,stopabbrtwo,avgboardings,avgalightings
85,Commuter Rail,750,FrontRunner,March,2017,SAT,Murray Central Station,FR198021,FR198021,729.750000000000000,716.000000000000000
86,Commuter Rail,750,FrontRunner,March,2017,SAT,Ogden Central Station,FR601084,FR601084,1080.833333000000039,1136.500000000000000
87,Commuter Rail,750,FrontRunner,March,2017,SAT,Provo Central Station,FR801164,FR801164,1060.000000000000000,1223.500000000000000
88,Commuter Rail,750,FrontRunner,March,2017,WKD,Salt Lake Central Station,FR101393,FR101393,2011.598595000000159,2258.206381999999849
89,Commuter Rail,750,FrontRunner,March,2017,SAT,South Jordan Station,FR198023,FR198023,234.333333300000021,246.666666699999979
90,Commuter Rail,750,FrontRunner,March,2017,SAT,Roy Station,FR601085,FR601085,280.250000000000000,251.750000000000000
91,Commuter Rail,750,FrontRunner,March,2017,WKD,Murray Central Station,FR198021,FR198021,1755.666221999999834,1774.251569000000018
92,Commuter Rail,750,FrontRunner,March,2017,WKD,Provo Central Station,FR801164,FR801164,1727.948250000000144,1710.219764000000168
93,Commuter Rail,750,FrontRunner,March,2017,SAT,Woods Cross Station,FR301085,FR301085,286.500000000000000,295.500000000000000
94,Commuter Rail,750,FrontRunner,April,2017,WKD,Roy Station,FR601085,FR601085,439.812184500000001,422.301913899999988
95,Commuter Rail,750,FrontRunner,April,2017,SAT,Lehi Station,FR801159,FR801159,348.800000000000011,353.300000000000011
96,Commuter Rail,750,FrontRunner,April,2017,WKD,Salt Lake Central Station,FR101393,FR101393,1944.067884999999933,2166.871157999999923
97,Commuter Rail,750,FrontRunner,April,2017,SAT,Ogden Central Station,FR601084,FR601084,870.399999999999977,893.500000000000000
98,Commuter Rail,750,FrontRunner,April,2017,WKD,American Fork Station,FR801160,FR801160,855.257453399999918,783.709610900000030
99,Commuter Rail,750,FrontRunner,April,2017,SAT,American Fork Station,FR801160,FR801160,287.399999999999977,268.300000000000011
100,Commuter Rail,750,FrontRunner,April,2017,WKD,Pleasant View Station,FR601083,FR601083,35.466077259999999,32.951776559999999
101,Commuter Rail,750,FrontRunner,April,2017,WKD,Ogden Central Station,FR601084,FR601084,1298.480631000000130,1462.159221000000116
102,Commuter Rail,750,FrontRunner,April,2017,WKD,Murray Central Station,FR198021,FR198021,1718.647441999999955,1745.875322999999980
103,Commuter Rail,750,FrontRunner,April,2017,WKD,Farmington Station,FR301084,FR301084,535.400977399999988,516.650299700000005
104,Commuter Rail,750,FrontRunner,April,2017,WKD,Orem Central Station,FR801163,FR801163,1343.555058000000145,1258.513304000000062
105,Commuter Rail,750,FrontRunner,April,2017,WKD,Clearfield Station,FR301081,FR301081,769.562748099999908,730.616431600000055
106,Commuter Rail,750,FrontRunner,April,2017,WKD,Draper Station,FR198022,FR198022,722.345894100000010,705.571144699999991
107,Commuter Rail,750,FrontRunner,April,2017,SAT,Clearfield Station,FR301081,FR301081,307.000000000000000,279.199999999999989
108,Commuter Rail,750,FrontRunner,April,2017,SAT,Murray Central Station,FR198021,FR198021,723.399999999999977,694.399999999999977
109,Commuter Rail,750,FrontRunner,April,2017,WKD,South Jordan Station,FR198023,FR198023,737.735060800000042,731.746284800000012
110,Commuter Rail,750,FrontRunner,April,2017,SAT,Layton Station,FR301082,FR301082,327.899999999999977,322.600000000000023
111,Commuter Rail,750,FrontRunner,April,2017,WKD,Layton Station,FR301082,FR301082,753.944166700000096,717.631306999999993
112,Commuter Rail,750,FrontRunner,April,2017,WKD,North Temple Station,FR198030,FR198030,2434.491702000000259,2377.775889000000006
113,Commuter Rail,750,FrontRunner,April,2017,WKD,Provo Central Station,FR801164,FR801164,1683.426617999999962,1703.868885999999975
114,Commuter Rail,750,FrontRunner,April,2017,SAT,Salt Lake Central Station,FR101393,FR101393,1036.400000000000091,1091.200000000000045
115,Commuter Rail,750,FrontRunner,April,2017,WKD,Woods Cross Station,FR301085,FR301085,576.879205800000022,543.372758599999997
116,Commuter Rail,750,FrontRunner,April,2017,SAT,Roy Station,FR601085,FR601085,231.800000000000011,196.400000000000006
117,Commuter Rail,750,FrontRunner,April,2017,WKD,Lehi Station,FR801159,FR801159,1114.391673999999966,1062.134037999999919
118,Commuter Rail,750,FrontRunner,April,2017,SAT,Woods Cross Station,FR301085,FR301085,246.000000000000000,232.699999999999989
119,Commuter Rail,750,FrontRunner,April,2017,SAT,Provo Central Station,FR801164,FR801164,1156.299999999999955,1243.500000000000000
120,Commuter Rail,750,FrontRunner,April,2017,SAT,North Temple Station,FR198030,FR198030,914.100000000000023,911.899999999999977
121,Commuter Rail,750,FrontRunner,April,2017,SAT,Farmington Station,FR301084,FR301084,405.800000000000011,384.199999999999989
122,Commuter Rail,750,FrontRunner,April,2017,SAT,Orem Central Station,FR801163,FR801163,478.300000000000011,453.300000000000011
123,Commuter Rail,750,FrontRunner,April,2017,SAT,Draper Station,FR198022,FR198022,159.300000000000011,163.199999999999989
124,Commuter Rail,750,FrontRunner,April,2017,SAT,South Jordan Station,FR198023,FR198023,212.699999999999989,216.500000000000000
125,Commuter Rail,750,FrontRunner,May,2017,SAT,Clearfield Station,FR301081,FR301081,266.066666699999985,255.000000000000000
126,Commuter Rail,750,FrontRunner,May,2017,WKD,Farmington Station,FR301084,FR301084,555.886140400000045,573.495350200000075
127,Commuter Rail,750,FrontRunner,May,2017,SAT,Murray Central Station,FR198021,FR198021,634.833333300000049,600.233333300000027
128,Commuter Rail,750,FrontRunner,May,2017,WKD,Provo Central Station,FR801164,FR801164,1690.703623999999991,1738.903146999999990
129,Commuter Rail,750,FrontRunner,May,2017,SAT,American Fork Station,FR801160,FR801160,246.533333300000010,203.566666699999985
130,Commuter Rail,750,FrontRunner,May,2017,WKD,Layton Station,FR301082,FR301082,740.230409900000041,702.528795899999977
131,Commuter Rail,750,FrontRunner,May,2017,WKD,Draper Station,FR198022,FR198022,693.831279399999971,657.968301200000042
132,Commuter Rail,750,FrontRunner,May,2017,SAT,Ogden Central Station,FR601084,FR601084,866.799999999999955,825.066666700000042
133,Commuter Rail,750,FrontRunner,May,2017,WKD,South Jordan Station,FR198023,FR198023,729.046266899999978,697.873310399999923
134,Commuter Rail,750,FrontRunner,May,2017,WKD,Woods Cross Station,FR301085,FR301085,593.860337100000038,556.496112199999970
135,Commuter Rail,750,FrontRunner,May,2017,WKD,Murray Central Station,FR198021,FR198021,1643.429304000000002,1725.713391000000001
136,Commuter Rail,750,FrontRunner,May,2017,WKD,North Temple Station,FR198030,FR198030,2493.373838999999862,2450.652814999999919
137,Commuter Rail,750,FrontRunner,May,2017,SAT,Farmington Station,FR301084,FR301084,448.533333299999981,453.133333300000004
138,Commuter Rail,750,FrontRunner,May,2017,WKD,Lehi Station,FR801159,FR801159,1114.363313999999946,1016.335209999999961
139,Commuter Rail,750,FrontRunner,May,2017,SAT,Layton Station,FR301082,FR301082,276.266666699999973,264.533333299999981
140,Commuter Rail,750,FrontRunner,May,2017,WKD,Pleasant View Station,FR601083,FR601083,39.811736470000000,35.015340120000005
141,Commuter Rail,750,FrontRunner,May,2017,WKD,Roy Station,FR601085,FR601085,429.875042899999983,422.527088199999980
142,Commuter Rail,750,FrontRunner,May,2017,SAT,Draper Station,FR198022,FR198022,142.433333300000015,136.566666699999985
143,Commuter Rail,750,FrontRunner,May,2017,WKD,Clearfield Station,FR301081,FR301081,747.083544799999913,712.527078500000016
144,Commuter Rail,750,FrontRunner,May,2017,SAT,Salt Lake Central Station,FR101393,FR101393,803.933333300000072,885.166666700000064
145,Commuter Rail,750,FrontRunner,May,2017,SAT,Woods Cross Station,FR301085,FR301085,220.933333300000015,217.599999999999994
146,Commuter Rail,750,FrontRunner,May,2017,SAT,North Temple Station,FR198030,FR198030,718.000000000000000,656.733333300000027
147,Commuter Rail,750,FrontRunner,May,2017,SAT,Roy Station,FR601085,FR601085,202.733333300000027,180.533333300000010
148,Commuter Rail,750,FrontRunner,May,2017,WKD,American Fork Station,FR801160,FR801160,833.166685499999971,731.814861500000006
149,Commuter Rail,750,FrontRunner,May,2017,WKD,Ogden Central Station,FR601084,FR601084,1188.376682999999957,1364.714809999999943
150,Commuter Rail,750,FrontRunner,May,2017,SAT,Provo Central Station,FR801164,FR801164,766.533333300000095,938.383333300000004
151,Commuter Rail,750,FrontRunner,May,2017,SAT,Orem Central Station,FR801163,FR801163,364.666666700000007,358.066666699999985
152,Commuter Rail,750,FrontRunner,May,2017,SAT,Lehi Station,FR801159,FR801159,287.016666699999973,274.366666699999996
153,Commuter Rail,750,FrontRunner,May,2017,SAT,South Jordan Station,FR198023,FR198023,192.133333300000004,183.866666699999996
154,Commuter Rail,750,FrontRunner,May,2017,WKD,Orem Central Station,FR801163,FR801163,1106.674469000000045,1015.590784999999983
155,Commuter Rail,750,FrontRunner,May,2017,WKD,Salt Lake Central Station,FR101393,FR101393,1828.502504000000044,2033.250409999999874
156,Commuter Rail,750,FrontRunner,June,2017,WKD,Layton Station,FR301082,FR301082,760.751417599999968,705.616828400000031
157,Commuter Rail,750,FrontRunner,June,2017,WKD,Roy Station,FR601085,FR601085,445.415871100000004,409.967597399999988
158,Commuter Rail,750,FrontRunner,June,2017,SAT,Lehi Station,FR801159,FR801159,307.000000000000000,301.333333299999993
159,Commuter Rail,750,FrontRunner,June,2017,SAT,Layton Station,FR301082,FR301082,339.250000000000000,312.750000000000000
160,Commuter Rail,750,FrontRunner,June,2017,WKD,South Jordan Station,FR198023,FR198023,746.823731899999984,725.401318899999978
161,Commuter Rail,750,FrontRunner,June,2017,SAT,Roy Station,FR601085,FR601085,243.000000000000000,201.250000000000000
162,Commuter Rail,750,FrontRunner,June,2017,SAT,Draper Station,FR198022,FR198022,151.333333300000021,135.833333300000021
163,Commuter Rail,750,FrontRunner,June,2017,SAT,Orem Central Station,FR801163,FR801163,405.833333299999993,392.166666700000007
164,Commuter Rail,750,FrontRunner,June,2017,SAT,Salt Lake Central Station,FR101393,FR101393,1015.166666999999961,980.000000000000000
