objectid,mode,lineabbr,route,month_,year_,servicetype,stopname,stopabbrone,stopabbrtwo,avgboardings,avgalightings
247,Commuter Rail,750,FrontRunner,8,2017,WKD,Murray Central Station,FR198021,FR198021,1908.038448,1924.188273
240,Commuter Rail,750,FrontRunner,8,2017,SAT,North Temple Station,FR198030,FR198030,814.25,755.25
245,Commuter Rail,750,FrontRunner,8,2017,WKD,North Temple Station,FR198030,FR198030,2586.451095,2578.829378
237,Commuter Rail,750,FrontRunner,8,2017,SAT,Ogden Central Station,FR601084,FR601084,868.25,900.75
241,Commuter Rail,750,FrontRunner,8,2017,WKD,Ogden Central Station,FR601084,FR601084,1251.606585,1429.558301
219,Commuter Rail,750,FrontRunner,8,2017,SAT,Orem Central Station,FR801163,FR801163,436.5,449.25
235,Commuter Rail,750,FrontRunner,8,2017,WKD,Orem Central Station,FR801163,FR801163,1330.549059,1260.979276
221,Commuter Rail,750,FrontRunner,8,2017,WKD,Pleasant View Station,FR601083,FR601083,37.21186905,32.47101449
236,Commuter Rail,750,FrontRunner,8,2017,SAT,Provo Central Station,FR801164,FR801164,948.5,1143.25
223,Commuter Rail,750,FrontRunner,8,2017,WKD,Provo Central Station,FR801164,FR801164,1796.710603,1798.01558
244,Commuter Rail,750,FrontRunner,8,2017,SAT,Roy Station,FR601085,FR601085,228.5,202.5
242,Commuter Rail,750,FrontRunner,8,2017,WKD,Roy Station,FR601085,FR601085,476.9677367,450.5087401
222,Commuter Rail,750,FrontRunner,8,2017,SAT,Salt Lake Central Station,FR101393,FR101393,921.5,893.25
