Stop,Ridership,Downtown
Redwood Rd / 6200 S,11,0
5400 S / 1900 W,11,0
4000 W @ 6145 S,11,0
Alabama Ave @ 3639 W,11,0
Highland Dr @ 7411 S,11,0
1300 E @ 4711 S,11,0
State St @ 1135 S,11,0
3500 S / Stanton Dr,11,0
6200 S @ 3816 W,11,0
3300 S @ 2201 E,11,0
Redwood Rd @ 2344 S,11,0
Redwood Rd @ 7020 S,11,0
900 E / Charlton Cir,11,0
California Ave / 1000 W,11,0
Fitts Park,11,0
400 S @ 902 W,11,0
Cougar Ln @ 6221 S,11,0
3800 S @ 2511 W,11,0
5400 S / Morning Breeze Dr,11,0
900 E / Kingsmill Ln,11,0
Redwood Rd @ 4720 S,11,0
9000 S @ 810 E,11,0
500 E / Kensington Ave,11,0
Redwood Rd @ 3980 S,11,0
2200 W @ 4130 S,11,0
900 E / Belmont Ave,11,0
State St @ 5025 S,11,0
3500 S / Centennial Rd,11,0
3600 W / 3650 S,11,0
Murray Holladay Rd @ 1635 E,11,0
Presidents Dr / 2270 S,11,0
9150 W / Magna Main St,11,0
300 W / 1100 S,10,0
State St @ 4400 S,10,0
Vine St @ 34 E,10,0
2300 E @ 4626 S,10,0
5400 S / 700 W,10,0
1300 E @ 1503 S,10,0
Redwood Rd @ 3871 S ,10,0
3rd Ave / K St,10,0
Foothill Dr @ 1527 S,10,0
Union Park Ave @ 7175 S,10,0
Atherton Dr @ 4540 S,10,0
3300 S @ 988 E,10,0
1300 E @ 2705 S,10,0
Murray Holladay Rd @ 2161 E,10,0
1300 E @ 480 S,10,0
State St @ 2473 S,10,0
200 N / 400 W,10,0
Atherton Dr @ 1020 W,10,0
Highland Dr @ 9265 S,10,0
3rd Ave / G St,10,0
700 S / 800 W,10,0
3650 S / 3400 W,10,0
Beck Street @ 1765 N    (Salt Lake),10,0
500 E / Downington Ave,10,0
Big Cottonwood Canyon P+R (Down),10,0
2100 S / 1500 W,10,0
Fort Union Blvd @ 1338 E,10,0
12300 S / 210 E,10,0
4100 S @ 5577 W,10,0
Foothill Dr / Mario Capecchi,10,0
500 E / Sunset Ave,10,0
5600 W @ 4150 S,10,0
3900 S @ 3335 E,10,0
4015 W @ 5493 S,10,0
3300 S @ 2290 E,10,0
3300 S @ 401 E,10,0
600 N / 1000 W,10,0
3500 S / Wing Pointe Dr,10,0
