Stop,Ridership,Downtown
500 E / 300 S,30,0
Murray Holladay Rd @ 1725 E,30,0
2100 S / 1100 E,30,0
900 E / 1700 S,30,0
1000 N / Jordan River Pkwy,30,0
Redwood Rd / 1800 S,30,0
3300 S @ 225 E,30,0
E St / 3rd Ave,29,0
Navajo St / Glendale Dr,29,0
3500 S / Montclair St,29,0
Navajo St / Arapahoe Ave,29,0
3300 S / 700 E,29,0
900 E / 200 S,29,0
900 E / 700 S,29,0
900 W / 800 S,29,0
900 E / Hollywood Ave,29,0
Redwood Road / 4600 S,29,0
900 E / 1300 S,29,0
400 S / Navajo St,29,0
900 W / 200 N,29,0
9th Ave / LDS Hospital,29,0
Fort Union Blvd @ 32 E,28,0
500 E / 1700 S,28,0
3300 S / Valley St,28,0
900 E / 3600 S,28,0
Wakara Way / Komas Dr,28,0
State St @ 5223 S,28,0
900 S / 1000 E,28,0
1000 N / American Beauty Dr,28,0
3500 S / 1950 W,27,0
500 S @ 1090 E,27,0
700 W / Carlisle St,27,0
3030 W / 3500 S,27,0
500 E / S-Line,27,0
State St @ 2775 S,27,0
Redwood Rd / 2100 S,27,0
E St / South Temple,27,0
1460 W / North Temple,27,0
1300 E @ 673 S,26,0
3500 S / 4400 W,26,0
North Campus / Federal Heights,26,0
5400 S / 3200 W,26,0
State St @ 1280 S,26,0
West Temple & South Temple,26,0
3900 S @ 510 E,26,0
4500 S / Atwood Blvd,25,0
3300 S @ 1 W,25,0
Northstar Dr / Cornell St,25,0
State Capitol east entrance,25,0
2100 E / Bryan Ave,25,0
Highland Dr @ 3330 S,25,0
Guardsman Way / 600 S,25,0
2100 S / 1900 E,24,0
Highland Dr @ 7050 S,24,0
State St @ 2712 S,24,0
3900 S @ 110 E,24,0
Redwood Rd / 200 N,24,0
Redwood Rd / 3750 S,24,0
1300 E @ 875 S,24,0
North Temple St / Redwood Rd,24,0
Navajo St / 1000 S,24,0
Redwood Rd / 300 N,24,0
3300 S @ 198 E,24,0
